Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hungary,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.25,1.25,..,..
Iceland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.625,0.625,0.625,0.625,0.625,0.625,..,..
Ireland,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,..,..
Israel,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.875,0.875,0.875,0.875,0.875,0.875,..,..
Italy,4.875,4.875,4.75,4.75,4.75,4.75,4.75,4.75,3.625,3.625,3.25,3.25,2.375,2,2,2,2,2,2,2,2,2,2,2,..,..
Japan,1.6875,1.6875,1.6875,1.6875,1.6875,1.6875,1.6875,1.5,1.5,1.5,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,..,..
Korea,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,2.125,..,..
Luxembourg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.75,3.75,3.75,3.75,3.75,3.75,..,..
Mexico,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2.0625,..,..
Netherlands,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,..,..
New Zealand,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,1,1,1,1,1,1,1,1,1,1,1,1,1,..,..
Norway,3.125,3.125,3.125,3.125,3.125,3.125,3.1875,3.1875,3.1875,3.1875,3,2.75,2.75,2.75,2.75,2.75,3,3,3,3,3,3,3,3,..,..
Poland,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.25,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,..,..
Portugal,3.375,3.375,3.375,3.375,3.375,3.375,3.375,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.8125,2.5625,2.5625,2.5625,2.5625,1.9375,1.9375,1.9375,1.9375,1.9375,1.8125,..,..
Slovak Republic,..,..,..,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,0.625,0.625,0.625,0.625,1.625,1.625,1.625,1.75,1.625,1.75,..,..
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.8125,1.8125,1.8125,1.8125,1.8125,1.8125,1.5,..
Spain,3.75,3.75,3.75,3.75,3.75,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3,3,3,3,2.5625,2.6875,2.5625,..,..
Sweden,4.0833335,4.0833335,2.7708335,2.7708335,1.7708334,1.7708334,1.7708334,1.4375,1.4375,1.4375,1.4375,1.4375,1.4375,1.4375,1.4375,1.4375,1.4375,1.4375,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,..,..
Switzerland,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,1.125,..,..
Turkey,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,..,..
United Kingdom,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,..
United States,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,..,..
OECD countries,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.7536764,1.7536764,1.7591912,1.7426471,1.7426471,1.71875,..,..
Colombia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.875,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.375,..
Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.875,0.875,..,..
Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.375,2.5
Argentina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.375,2.375,2.375,..
Bahamas,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..
Barbados,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..
Bolivia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.75,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.125,4.125,4.125,4.125,4.125,..,..,..
China,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.75,1.75,1.75,1.75,1.75,..,..,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2
Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.25,..
Ecuador,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.875,..
El Salvador,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.375,..
FYR of Macedonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.9375
Guatemala,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.375,..
Honduras,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..
India,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.8125,1.8125,1.8125,1.8125,1.8125,..,..,..
Indonesia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.75,2.75,2.75,2.75,2.75,..,..,..
Jamaica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..
Malaysia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.375,..,..
Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.8125,..,..
Nicaragua,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.125,..
Panama,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.5,..
Paraguay,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.75,..
Peru,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.25,..
Russian Federation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.125,1.125,1.125,1.125,1.125,..,..,..
Saudi Arabia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.375,3.375,3.375,3.375,3.375,..,..,..
South Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,0.5,0.5,0.5,0.5,..,..,..
Thailand,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.75,2.75,2.75,2.75,..
Tunisia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.625,..,..
Uruguay,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.25,..
Venezuela,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.125,..
