Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,1.1666666,1.1666666,1.1666666,1.1666666,1.1666666,1.1666666,1.1666666,1.4166666,1.4166666,1.4166666,1.4166666,1.4166666,1.4166666,1.4166666,1.4166666,1.4166666,1.4166666,1.1666666,1.1666666,1.1666666,1.6666666,1.6666666,1.6666666,1.6666666,..,..
Austria,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,2.3690476,..,..
Belgium,1.8452381,1.8452381,1.8452381,1.8452381,1.8452381,1.8452381,1.8452381,1.8452381,1.8452381,1.8452381,1.8452381,1.8928572,1.8928572,1.8928572,1.8928572,1.8928572,1.8928572,1.8928572,1.8928572,1.8928572,2.0833333,2.0833333,1.8928572,1.8928572,..,..
Canada,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,0.92063493,..,..
Chile,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.6269841,2.6269841,2.6269841,2.6269841,2.6269841,2.6269841,..,..
Czech Republic,..,..,..,3.3055556,3.3055556,3.3055556,3.3055556,3.3055556,3.3055556,3.3055556,3.3055556,3.3055556,3.3055556,3.3055556,3.3055556,3.3055556,3.3055556,3.0515873,3.0515873,3.0515873,3.0515873,3.0515873,2.9246032,2.9246032,..,..
Denmark,2.1825397,2.1825397,2.1825397,2.1825397,2.1825397,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1349206,2.1984127,2.1984127,2.1984127,..,..
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.7420635,2.7420635,1.8095238,1.8095238,1.8095238,1.8095238,..,..
Finland,2.7857141,2.7857141,2.4523809,2.4523809,2.4523809,2.4523809,2.4523809,2.3095238,2.3095238,2.3095238,2.3095238,2.3095238,2.1666667,2.1666667,2.1666667,2.1666667,2.1666667,2.1666667,2.1666667,2.1666667,2.1666667,2.1666667,2.1666667,2.1666667,..,..
France,2.34127,2.34127,2.34127,2.34127,2.34127,2.34127,2.34127,2.34127,2.34127,2.34127,2.34127,2.34127,2.34127,2.4682541,2.4682541,2.4682541,2.4682541,2.4682541,2.4682541,2.3849206,2.3849206,2.3849206,2.3849206,2.3849206,..,..
Germany,2.5833333,2.5833333,2.5833333,2.5833333,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,2.6785715,..,..
