Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Estimates Start After
Afghanistan,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,845.295,900.066,896.036,999.238,"1,052.54","1,191.32","1,229.74","1,457.69","1,561.15","1,655.36","1,875.02","1,933.50",2013
Albania,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,077.44","2,353.99","2,519.18","2,594.53","2,684.91","2,673.25","2,823.72","2,816.69","2,817.68","3,152.73","2,944.64","2,229.81","2,137.12","2,409.77","2,747.32","3,050.37","3,360.12","3,022.35","3,359.38","3,823.21","4,225.81","4,651.26","4,934.17","5,353.09","5,845.83","6,426.27","7,037.30","7,719.57","8,544.83","8,986.80","9,525.04","10,065.54","10,517.94","10,947.65",2010
Algeria,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,620.92","5,047.13","5,525.90","5,861.80","6,210.27","6,455.42","6,399.44","6,349.73","6,259.88","6,649.90","6,861.58","6,835.25","6,933.14","6,787.87","6,719.54","6,980.43","7,247.24","7,329.51","7,664.80","7,908.38","8,246.78","8,562.03","9,045.88","9,744.44","10,287.74","11,077.86","11,437.92","11,956.57","12,214.40","12,267.94","12,612.95","12,970.95","13,273.17","13,719.07",2013
Angola,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,782.18","1,813.83","1,876.72","1,980.87","2,118.24","2,007.84","2,049.17","2,132.77","2,280.94","2,307.34","2,250.07","2,279.62","2,131.52","1,610.54","1,618.30","1,844.52","2,070.46","2,193.30","2,253.50","2,269.81","2,322.68","2,403.43","2,693.03","2,806.66","3,104.45","3,679.12","4,445.12","5,431.48","6,119.63","6,130.95","6,230.42","6,415.75","6,670.67","7,029.81",2013
Antigua and Barbuda,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,044.06","4,605.31","4,900.21","5,490.66","6,378.87","7,197.64","8,087.05","9,042.87","10,015.83","11,141.08","11,884.21","12,503.69","12,708.39","13,419.72","14,207.04","13,408.39","14,094.78","14,786.35","15,300.40","15,826.27","16,393.02","15,759.52","16,232.33","17,314.39","18,170.80","19,894.50","22,867.22","24,868.00","25,472.85","22,684.76","20,780.14","20,591.76","21,496.72","21,946.91",2011
Argentina,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,282.10","6,360.37","6,433.77","6,840.47","7,103.86","6,706.95","7,238.08","7,524.83","7,543.65","7,198.66","7,213.37","8,126.03","9,043.85","9,693.49","10,344.72","10,134.31","10,760.72","11,696.85","12,142.25","11,782.05","11,829.84","11,450.11","10,260.04","11,282.89","12,522.15","13,983.60","15,468.73","16,977.25","17,667.83","17,638.36","19,228.00","21,026.90","21,341.90","22,067.29",2010
Armenia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,416.27","1,275.76","1,406.67","1,585.08","1,724.22","1,830.47","1,985.33","2,093.08","2,273.35","2,561.94","2,996.23","3,496.87","3,982.42","4,721.85","5,527.64","6,476.55","7,086.09","6,150.25","6,383.84","6,821.83","7,418.10","7,779.16",2011
Australia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,437.98","11,696.00","12,226.46","12,489.93","13,583.92","14,575.91","15,008.96","15,893.20","16,848.61","18,033.72","18,724.12","18,901.68","19,643.87","20,714.41","21,973.07","22,805.85","23,941.96","25,119.29","26,349.03","27,572.59","28,733.52","29,763.34","31,077.01","32,289.02","34,139.08","35,894.57","37,397.80","39,386.33","40,349.42","40,559.47","41,397.84","42,732.04","44,298.31","45,212.12",2014
Austria,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,201.82","12,210.99","13,199.46","14,146.94","14,696.02","15,496.07","16,161.60","16,830.16","17,564.35","18,911.72","20,328.26","21,541.54","22,240.08","22,646.35","23,545.92","24,632.30","25,652.40","26,627.10","27,852.90","29,252.55","30,849.74","31,904.40","32,756.21","33,509.47","35,178.86","36,822.05","38,973.88","41,316.29","42,649.85","41,207.21","42,430.64","44,397.12","45,379.12","46,027.26",2014
Azerbaijan,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"4,558.27","3,575.25","2,890.55","2,523.51","2,622.11","2,876.15","3,052.80","3,408.37","3,647.12","3,926.48","4,262.12","4,748.62","5,317.04","6,860.60","9,407.50","11,942.26","13,347.83","14,568.16","15,354.59","15,561.82","16,062.83","17,134.99",2014
